,,,,,,,,,,
테이블명,회원정보,테이블 명세서,,,,작성일,,2021-05-03,,page
system,tbl_buyer,,,,,작성자,,ybhag1005@daum.net,,1
테이블 설명,도서대여 회원 정보 Table,,,,,,,,,
NO,열 이름,데이터 형식,Column,MySQL형식,NULL ?,기본키,외래키,FK 테이블 이름,FK 열이름,비고
1,회원코드,고정문자열(5),bu_code,CHAR(5),,PRIMARY KEY,,,,
2,회원명,한글가변문자열(50),bu_name,VARCHAR(50),NOT NULL,,,,,
3,생년,숫자형,bu_brith,INT,NOT NULL,,,,,
4,전화번호,가변문자열(20),bu_tel,VARCHAR(20),,,,,,
5,주소,한글가변문자열(125),bu_addr,VARCHAR(125),,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
