,,,,,,,,,,
테이블명,출판사정보_V1,테이블 명세서,,,,작성일,,2021-04-29,,page
system,tbl_company_v1,,,,,작성자,,callor@callor.com,,1
테이블 설명,출판사 정보를 저장할 Table,,,,,,,,,
NO,열 이름,데이터 형식,Column,MySQL형식,NULL ?,기본키,외래키,FK 테이블 이름,FK 열이름,비고
1,출판사코드,고정문자열(5),cp_code,CHAR(13),,PRIMARY KEY,,,,
2,출판사명,한글가변문자열(125),cp_title,VARCHAR(125),NOT NULL,,,,,
3,대표자명,한글가변문자열(20),cp_ceo,VARCHAR(20),,,,,,
4,전화번호,가변문자열(20),cp_tel,VARCHAR(20),,,,,,
5,주소,한글가변문자열(125),cp_addr,VARCHAR(125),,,,,,
6,주요장르,한글가변문자열(30),cp_genre,VARCHAR(10),,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
